genre,avg_budget,avg_revenue,movie_count
Horror,20445902,62521593,1146
Science Fiction,72925091,215910205,911
Action,67371278,185597824,2117
War,53704095,154368783,295
Crime,37084563,85288277,1472
Romance,32956586,98919135,1778
Thriller,40546142,97127392,2387
Comedy,37451321,99888384,3439
Fantasy,79020097,253924010,780
Adventure,90934654,295830379,1360
History,53599998,105215928,377
Documentary,4108691,11749242,311
Music,29106488,78745265,416
TV Movie,6154872,19930606,24
Western,44322399,82429894,197
Family,67790637,229399354,912
Drama,31356414,79122907,4433
Animation,76469411,296769989,454
Mystery,37280139,92944447,782
